ParticleID,InitialSpeed(m/s),InitialPosX(m),InitialPosY(m),InitialPosZ(m),CollisionType,MinEarthDistance(m),MinJupiterDistance(m)
747,33906.20567972955,155888869601.33633,240915809.4448715,-922929962.9342388,0,869449246.1658368,870458765876.7163
748,33928.23677894539,155889938953.1933,239227365.92067614,-920813814.9092925,0,874411520.7015009,870458139422.7024
749,33911.25713679214,155889559575.56195,241967323.1003424,-922090191.097695,0,876429114.012206,870460003148.2288
750,33900.56160696174,155889342607.256,241493124.30103794,-921628374.3539124,0,864761290.1670177,870459491060.3594
751,33907.843776321555,155889786584.03662,240069560.6045507,-919804608.987233,0,867494161.2288667,870458667323.6151
752,33916.30744087073,155892378383.88446,242070321.74749205,-920870095.2673023,0,880984926.491518,870461887072.4406
753,33913.79175404084,155889333263.3664,242497674.45495063,-922518656.9259598,0,879519585.664429,870460266952.4348
754,33890.89537626098,155890588420.8499,241910084.93467918,-921555026.8789781,0,867738240.9102572,870460614993.1998
755,33894.57050024873,155889940216.19794,242043060.638062,-922731823.2340504,0,869700928.9643358,870460315318.0182
756,33905.72356550388,155889557091.5136,242657721.11160788,-920414312.7014713,0,869257976.7962929,870460501853.2065
757,33897.37089983438,155889649126.41876,240334297.15043396,-921937711.8139894,0,867949743.698355,870458811642.0659
758,33909.916683726806,155889773511.58362,242720309.34602946,-922062975.6283139,0,872971515.8407936,870460714180.524
759,33894.797376008064,155890680584.78842,241953701.69919604,-921723110.4630729,0,872300910.33091,870460711622.0562
760,33906.77091453098,155888575367.5418,240222216.23013285,-920966447.6513892,0,875146466.7924926,870458019806.2277
761,33919.61546963449,155887370981.25345,240260456.2114783,-922420986.5089645,0,874388790.2259061,870457288586.0024
762,33911.417136082244,155890388507.34735,240203444.5097688,-920431109.7861727,0,872307418.574988,870459168652.3438
763,33903.68831605183,155889914096.5604,242036338.38786757,-920723514.0635436,0,874365214.444715,870460265368.0211
764,33928.50979230386,155890283560.67905,240926479.3271845,-922273647.0421783,0,878513244.962562,870459680892.1749
765,33939.74093680743,155890683196.8869,241366351.7192889,-920581386.8170903,0,882233598.7749978,870460249731.4583
766,33914.8798406837,155888893040.7644,243147226.94327685,-922153046.2404594,0,874412401.5982506,870460471708.1525
767,33922.684014618855,155889872744.40295,241681510.21985096,-921307226.8062398,0,876121248.4973825,870459975243.8085
768,33916.832908670585,155890492870.933,238727971.7905794,-920845185.7295375,0,874021371.768968,870458117361.1064
